season,real,adjusted
2020-21,109140000,109140000
2019-20,109140000,114444734
2018-19,101869000,108127254
2017-18,99093000,107090301
2016-17,94143000,104227011
2015-16,70000000,79141827
2014-15,63065000,72202032
2013-14,58679000,67265567
2012-13,58044000,67621260
2011-12,58044000,68611221
2010-11,58044000,70022014
2009-10,57700000,71805814
2008-09,58680000,74226058
2007-08,55630000,70117874
2006-07,53135000,69541955
2005-06,49500000,66634615
2004-05,43870000,60957548
2003-04,43840000,62987174
2002-03,40271000,59408466
2001-02,42500000,64123496
2000-01,35500000,54407536
1999-00,34000000,53578743
1998-99,30000000,48871354
1997-98,26900000,44787566
1996-97,24363000,41185792
1995-96,23000000,39797368
1994-95,15964000,28431190
1993-94,15175000,27784491
1992-93,14000000,26300391
1991-92,12500000,24172990
1990-91,11871000,23652090
1989-90,9802000,20360496
1988-89,7232000,15832740
1987-88,6164000,14143899
1986-87,4945000,11812089
1985-86,4233000,10479694
1984-85,3600000,9083539